epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,507.073,1.97814,2.32331,1.67083,0.3658,0.22844,0.20044,0.06789,2.2764,2.65705,1.96775,0.000658333,0.000658333,0.000658333
2,534.459,1.97431,1.86833,1.64067,0.46832,0.39045,0.38292,0.13127,2.34017,2.01738,1.87511,0.00128752,0.00128752,0.00128752
3,562.422,1.97166,1.7762,1.67274,0.442,0.31467,0.30679,0.09575,2.426,2.2917,2.12349,0.001879,0.001879,0.001879
4,590.082,1.95444,1.72093,1.66585,0.57079,0.42854,0.4301,0.15431,2.26159,2.23459,1.88846,0.00183029,0.00183029,0.00183029
5,617.808,1.95479,1.66271,1.64863,0.53846,0.47124,0.46448,0.16488,2.27073,1.90378,1.98099,0.00177371,0.00177371,0.00177371
6,645.448,1.91811,1.59575,1.62052,0.49455,0.45234,0.45678,0.16171,2.27953,2.15206,1.98038,0.00171714,0.00171714,0.00171714
7,672.607,1.89956,1.55813,1.61085,0.57482,0.49622,0.51378,0.18523,2.26122,1.77051,1.92496,0.00166057,0.00166057,0.00166057
8,699.969,1.89074,1.52159,1.60866,0.57232,0.49017,0.50587,0.18976,2.25182,1.71596,1.90586,0.001604,0.001604,0.001604
9,727.291,1.85358,1.46519,1.58633,0.52749,0.48714,0.47281,0.16136,2.29159,1.88671,1.94194,0.00154743,0.00154743,0.00154743
10,754.332,1.82233,1.42796,1.55183,0.54345,0.52496,0.52082,0.18891,2.21484,1.87724,1.85489,0.00149086,0.00149086,0.00149086
11,782.12,1.80609,1.41094,1.55117,0.5229,0.42511,0.45418,0.18262,2.23943,1.89089,1.94613,0.00143429,0.00143429,0.00143429
12,809.119,1.80394,1.35821,1.53868,0.60976,0.48933,0.54217,0.19882,2.2358,1.6204,1.88439,0.00137771,0.00137771,0.00137771
13,837.625,1.77749,1.33529,1.53675,0.60201,0.51589,0.53263,0.19064,2.23361,1.75691,1.88033,0.00132114,0.00132114,0.00132114
14,864.753,1.76133,1.30505,1.51496,0.62839,0.46815,0.52345,0.18351,2.26842,1.62881,1.93238,0.00126457,0.00126457,0.00126457
15,892.179,1.75288,1.30107,1.5211,0.58715,0.55068,0.55974,0.20874,2.23098,1.60154,1.90068,0.001208,0.001208,0.001208
16,920.296,1.7236,1.2678,1.48802,0.56796,0.5174,0.52649,0.18965,2.27047,1.64323,1.91696,0.00115143,0.00115143,0.00115143
17,947.798,1.72087,1.24615,1.49372,0.59994,0.49924,0.53557,0.19905,2.24877,1.62867,1.87974,0.00109486,0.00109486,0.00109486
18,974.899,1.69485,1.21677,1.47277,0.58331,0.55976,0.59148,0.23122,2.18423,1.4886,1.84983,0.00103829,0.00103829,0.00103829
19,1002.68,1.68634,1.19843,1.46579,0.62797,0.5295,0.57097,0.21359,2.2275,1.48983,1.85769,0.000981714,0.000981714,0.000981714
20,1030.2,1.63349,1.14962,1.43443,0.58713,0.53786,0.55787,0.20988,2.24063,1.52013,1.89828,0.000925143,0.000925143,0.000925143
21,1058.43,1.62693,1.12844,1.4356,0.57718,0.54312,0.5614,0.20884,2.21569,1.54458,1.87711,0.000868571,0.000868571,0.000868571
22,1086.74,1.62005,1.13602,1.42876,0.61058,0.54766,0.58856,0.22459,2.19042,1.46425,1.86446,0.000812,0.000812,0.000812
23,1114.79,1.5998,1.0758,1.40464,0.61321,0.53858,0.58004,0.22495,2.21161,1.47772,1.86015,0.000755429,0.000755429,0.000755429
24,1142.8,1.59956,1.08315,1.40814,0.59515,0.52263,0.56905,0.21304,2.23291,1.53547,1.89191,0.000698857,0.000698857,0.000698857
25,1170.72,1.56928,1.07362,1.39135,0.61137,0.50227,0.54063,0.20566,2.24488,1.53772,1.88591,0.000642286,0.000642286,0.000642286
26,1200.02,1.58078,1.0187,1.43858,0.66906,0.51891,0.58358,0.21964,2.2561,1.42202,1.89013,0.000585714,0.000585714,0.000585714
27,1226.88,1.52175,0.95521,1.3757,0.58469,0.58571,0.59957,0.22569,2.26648,1.43059,1.90103,0.000529143,0.000529143,0.000529143
28,1253.55,1.49155,0.91631,1.36559,0.61473,0.56243,0.58735,0.21455,2.27965,1.43386,1.93386,0.000472571,0.000472571,0.000472571
